5 0 1 500.625 4003.13 0 692.891 1279 32 1500 false
5 1 2 476.25 3810 0 690.062 1162 98 1500 false
5 2 3 480 3653.02 0 849.852 13966 21748 1500 false
5 3 4 367.5 3088.43 35 506.234 3045 2605 1500 false
5 4 5 502.5 4032.78 0 817.328 1442 33 1500 false
5 5 6 507.5 4060.92 0 497.75 877 45 1500 false
5 6 7 487.5 3899.57 25 844.195 1458 20 1500 false
5 7 8 266.25 2130.07 0 777.734 1372 25 1500 false
5 8 9 483.75 3865.01 0 905 6572 6480 1500 false
5 9 10 480 3845.04 0 938.938 1653 94 1500 false
5 10 11 253.75 2023.01 10 827.227 7501 10978 1500 false
5 11 12 265 2126.55 135 698.547 4733 6371 1500 false
5 12 13 60 477.629 91 567.039 4907 6958 1500 false
5 13 14 358.75 2885.86 0 767.836 1456 91 1500 false
5 14 15 456.25 3649.94 0 845.609 1474 32 1500 false
5 15 16 463.75 3709.96 0 852.68 1535 59 1500 false
5 16 17 300 2399.93 0 735.312 1331 44 1500 false
5 17 18 461.25 3677.35 0 842.781 9228 11007 1500 false
5 18 19 336.25 2699.45 0 745.211 1275 51 1500 false
5 19 20 467.5 3739.76 0 855.508 1432 43 1500 false
5 20 21 466.25 3730.09 0 880.961 1529 51 1500 false
5 21 22 390 3115.75 0 640.57 8690 10845 1500 false
5 22 23 288.75 2313.23 0 702.789 1364 30 1500 false
5 23 24 470 3759.99 0 830.055 1479 44 1500 false
5 24 25 457.5 3643.31 0 847.023 3888 3981 1500 false
5 25 26 463.75 3726.86 0 855.508 1431 76 1500 false
5 26 27 438.75 3508.35 79 698.547 1126 136 1500 false
5 27 28 463.75 3711.71 0 832.883 1479 50 1500 false
5 28 29 471.25 3768.67 32 900.758 1450 36 1500 false
5 29 30 468.75 3751.16 0 738.141 1249 49 1500 false
5 30 31 486.25 3887.61 0 742.383 1688 178 1500 false
5 31 32 475 3802.64 60 849.852 1838 197 1500 false
5 32 33 491.25 3929.29 0 714.102 1188 66 1500 false
5 33 34 480 3840.23 0 863.992 1449 22 1500 false
5 34 35 477.5 3819.7 0 903.586 1450 16 1500 false
5 35 36 477.5 3820.23 0 923.383 1493 99 1500 false
5 36 37 473.75 3789.89 0 955.906 1545 39 1500 false
5 37 38 393.75 3144.85 0 725.414 2570 1294 1500 false
5 38 39 401.25 3215.79 0 774.906 1412 39 1500 false
5 39 40 465 3720.19 0 837.125 1517 99 1500 false
5 40 41 375 2995.18 0 849.852 3897 3550 1500 false
5 41 42 461.25 3695.7 0 830.055 1459 42 1500 false
5 42 43 466.25 3730.01 0 842.781 1462 74 1500 false
5 43 44 456.25 3649.92 0 868.234 1685 172 1500 false
5 44 45 471.25 3770.2 0 899.344 1519 18 1500 false
5 45 46 470 3759.71 0 913.484 1522 23 1500 false
5 46 47 468.75 3750.28 0 921.969 1448 48 1500 false
5 47 48 467.5 3740.47 12 767.836 1383 36 1500 false
5 48 49 466.25 3729.41 0 834.297 1355 92 1500 false
5 49 50 468.75 3745.61 0 856.922 1557 125 1500 false
